Epoch	EpRet	EpLen	EpCostRet	EpCost	EpMaxCost	CumulativeCost	CostRate	VVals	TotalEnvInteracts	LossPi	LossV	LossCost	DeltaLossPi	DeltaLossV	DeltaLossCost	Entropy	KL	Time
100	2.5258374	127.47659	9.554055e-36	0.004255319	0.004255319	2431.0	0.0008023102310231023	1.1488345	3030000	5.5948894e-09	0.078459345	4.0581885e-08	-0.011785928	-0.033877596	-0.13257456	0.63860667	0.01092151	20512.549889564514
101	2.5660112	125.301254	0.0	0.0	0.0	2431.0	0.0007944444444444444	1.1809402	3060000	0.0	0.07839833	-8.379565e-08	0.0001950053	-0.041954953	-0.13145529	0.63205194	0.011672802	20863.671234369278
102	2.5901992	139.63551	0.0	0.014018691	0.009345794	2434.0	0.0007877022653721683	1.1685923	3090000	-1.4241537e-08	0.115141004	0.0	-0.0018852844	-0.06256332	-0.12077456	0.63909936	0.0101068225	21191.651970148087
103	2.5609481	131.77533	0.0	0.0	0.0	2434.0	0.0007801282051282052	1.1168088	3120000	6.103516e-09	0.10846779	2.520725e-08	-0.009782925	-0.042351536	-0.15787119	0.63329506	0.019477524	21520.81843304634
104	2.532291	110.12267	0.0	0.0	0.0	2434.0	0.0007726984126984127	1.2619338	3150000	8.646647e-09	0.059015855	4.2543093e-08	0.0006408976	-0.036665004	-0.16855216	0.6307957	0.015531691	21882.355407476425
105	2.3874614	117.10156	0.0	0.0	0.0	2434.0	0.0007654088050314465	1.1750534	3180000	-2.0345052e-09	0.092741884	-1.4901161e-08	-0.0028124675	-0.050519854	-0.19880553	0.6261863	0.012432011	22241.48598408699
106	2.5181262	126.01688	0.0	0.008438818	0.004219409	2436.0	0.0007588785046728972	1.1281029	3210000	-5.086263e-09	0.08191928	1.5693374e-07	-0.00852811	-0.037288617	-0.074919954	0.62932783	0.018770814	22580.48132276535
107	2.5346754	128.62231	0.0	0.0	0.0	2436.0	0.0007518518518518519	1.1638936	3240000	4.0690105e-09	0.062932886	6.5488365e-08	-0.011244278	-0.02235743	-0.16045529	0.6219024	0.0195964	22922.645658493042
108	2.5418816	116.24419	0.0	0.0	0.0	2436.0	0.000744954128440367	1.2007565	3270000	2.0345052e-09	0.03483608	-6.653542e-08	-0.010343314	-0.018403407	-0.15360852	0.62541974	0.015369763	23276.546798944473
109	2.5036662	141.83887	0.0	0.014218009	0.0047393367	2439.0	0.0007390909090909091	1.065653	3300000	1.0172526e-09	0.16168782	-4.5197837e-08	-0.01027233	-0.09671574	-0.1421881	0.6237805	0.014997711	23601.826574087143
